! FRIB fast beam rates (v.3.00) : 2024 PAC3
! 2024 PAC3:  21 beams (16 beams @ 15 kW).  86-m flight is taken into accout
!  The rates are estimated based on the EPAX 3.01 parameterization for fragmentation and the LISE++ 3EER model for in-flight fission.
! Primary beam energies acording the FRIB Beam PAC3 list
! Neutrons (N)	Protons (Z)	Value  [pps]
84	46	0.000465
83	46	0.00323
82	46	0.0513
81	46	0.472
80	46	5.03
79	46	53.1
78	46	714
77	46	4700
76	46	13900
75	46	108000
74	46	681000
73	46	2730000
72	46	1.1e+07
71	46	1.03e+07
70	46	2.63e+07
69	46	1.52e+07
68	46	3.47e+07
67	46	2.73e+07
66	46	6.36e+07
65	46	4.23e+07
64	46	5.38e+07
63	46	3.8e+07
62	46	3.81e+07
61	46	2.47e+07
60	46	5.03e+07
59	46	1.27e+08
58	46	2.88e+08
57	46	5.63e+08
56	46	9.23e+08
55	46	1.17e+09
54	46	9.67e+08
53	46	5.26e+08
52	46	1.79e+08
51	46	3.7e+07
50	46	4530000
49	46	320000
48	46	12800
47	46	330
46	46	11.1
45	46	0.375
44	46	0.0129
43	46	0.000455
42	46	1.63e-05
41	46	5.93e-07
40	46	2.17e-08
87	45	2.24e-09
86	45	3.52e-08
85	45	3.88e-07
84	45	4.19e-06
83	45	7.91e-05
82	45	0.000811
81	45	0.00804
80	45	0.0661
79	45	0.497
78	45	9.74
77	45	91.5
76	45	1330
75	45	3760
74	45	22200
73	45	149000
72	45	893000
71	45	4360000
70	45	1.28e+07
69	45	1.13e+07
68	45	2.43e+07
67	45	1.72e+07
66	45	4.21e+07
65	45	3.17e+07
64	45	4.81e+07
63	45	4.44e+07
62	45	5.01e+07
61	45	3.59e+07
60	45	3.15e+07
59	45	2.61e+07
58	45	7.38e+07
57	45	1.86e+08
56	45	4.04e+08
55	45	7.34e+08
54	45	1.05e+09
53	45	9.89e+08
52	45	6.04e+08
51	45	2.32e+08
50	45	5.42e+07
49	45	7490000
48	45	594000
47	45	26400
46	45	699
45	45	23.8
85	44	4.24e-09
84	44	5.39e-08
83	44	5.98e-07
82	44	5.63e-06
81	44	0.000306
80	44	0.000886
79	44	0.00573
78	44	0.0672
77	44	0.893
76	44	17.2
75	44	152
74	44	1640
73	44	7470
72	44	33700
71	44	246000
70	44	1150000
69	44	5070000
68	44	1.36e+07
67	44	9900000
66	44	2.33e+07
65	44	1.68e+07
64	44	4.38e+07
63	44	3.23e+07
62	44	4.88e+07
61	44	4.05e+07
60	44	4.45e+07
59	44	2.98e+07
58	44	2.77e+07
57	44	4.4e+07
56	44	1.22e+08
55	44	2.94e+08
54	44	5.84e+08
53	44	9.13e+08
52	44	9.84e+08
51	44	6.8e+08
50	44	2.96e+08
49	44	7.82e+07
48	44	1.22e+07
47	44	1090000
46	44	53800
45	44	1480
44	44	50.7
43	44	1.75
42	44	0.0618
41	44	0.00222
40	44	8.09e-05
39	44	3e-06
38	44	3.71e-08
83	43	6.23e-09
82	43	7.44e-08
81	43	7.28e-07
80	43	6.21e-06
79	43	0.000164
78	43	0.00128
77	43	0.0075
76	43	0.167
75	43	2.18
74	43	47.4
73	43	442
72	43	4420
71	43	17400
70	43	78100
69	43	538000
68	43	2590000
67	43	4420000
66	43	1.21e+07
65	43	8490000
64	43	2.25e+07
63	43	1.9e+07
62	43	3.45e+07
61	43	3.58e+07
60	43	4.86e+07
59	43	3.81e+07
58	43	3.72e+07
57	43	2.62e+07
56	43	2.72e+07
55	43	8.24e+07
54	43	2.12e+08
53	43	4.55e+08
52	43	7.76e+08
51	43	9.58e+08
50	43	7.44e+08
49	43	3.68e+08
48	43	1.1e+08
47	43	1.93e+07
46	43	1930000
45	43	107000
44	43	3240
43	43	107
81	42	8.31e-09
80	42	8.52e-08
79	42	7.42e-07
78	42	6.28e-06
77	42	8.68e-05
76	42	0.00143
75	42	0.0194
74	42	0.319
73	42	5.93
72	42	114
71	42	928
70	42	6070
69	42	29200
68	42	113000
67	42	673000
66	42	3420000
65	42	4330000
64	42	9730000
63	42	8920000
62	42	2.55e+07
61	42	2.04e+07
60	42	3.93e+07
59	42	3.34e+07
58	42	4.6e+07
57	42	3.37e+07
56	42	3.35e+07
55	42	2.25e+07
54	42	5.44e+07
53	42	1.5e+08
52	42	3.45e+08
51	42	6.44e+08
50	42	5.4e+11
49	42	2.11e+09
48	42	8.19e+08
47	42	1.9e+08
46	42	2.98e+07
45	42	3350000
44	42	235000
43	42	12600
42	42	684
41	42	33.3
40	42	1.48
39	42	0.0612
38	42	0.00239
37	42	8.91e-05
36	42	3.23e-06
79	41	8.5e-09
78	41	8.21e-08
77	41	7.6e-07
76	41	5.51e-05
75	41	0.000155
74	41	0.00446
73	41	0.0501
72	41	1.79
71	41	24.2
70	41	264
69	41	1910
68	41	19500
67	41	84000
66	41	468000
65	41	1530000
64	41	7550000
63	41	3530000
62	41	1.02e+07
61	41	1.36e+07
60	41	2.82e+07
59	41	2.71e+07
58	41	3.66e+07
57	41	3.55e+07
56	41	4.11e+07
55	41	3.37e+07
54	41	2.83e+07
53	41	3.5e+07
52	41	1.04e+08
51	41	2.57e+08
50	41	5.17e+08
49	41	1.41e+09
48	41	1.73e+09
47	41	1.04e+09
46	41	3.79e+08
45	41	8.77e+07
44	41	1.29e+07
43	41	1160000
42	41	61100
41	41	2350
40	41	84.2
77	40	8.82e-09
76	40	9.86e-08
75	40	9.27e-07
74	40	4.39e-05
73	40	0.000205
72	40	0.00846
71	40	0.133
70	40	3.95
69	40	43.9
68	40	837
67	40	4090
66	40	40900
65	40	183000
64	40	1100000
63	40	3400000
62	40	1.32e+07
61	40	7190000
60	40	2.39e+07
59	40	2.03e+07
58	40	3.18e+07
57	40	2.33e+07
56	40	3.62e+07
55	40	3.53e+07
54	40	3.92e+07
53	40	2.98e+07
52	40	2.55e+07
51	40	6.96e+07
50	40	1.86e+08
49	40	4.05e+08
48	40	8.67e+08
47	40	1.3e+09
46	40	1.05e+09
45	40	5.21e+08
44	40	1.6e+08
43	40	2.94e+07
42	40	3080000
41	40	174000
40	40	5570
39	40	201
38	40	6.95
37	40	0.236
36	40	0.00794
35	40	0.000264
34	40	8.71e-06
76	39	1.03e-09
75	39	1.19e-08
74	39	1.47e-07
73	39	1.57e-06
72	39	5.32e-05
71	39	0.00108
70	39	0.0287
69	39	0.419
68	39	14.1
67	39	147
66	39	1780
65	39	13400
64	39	163000
63	39	463000
62	39	1690000
61	39	5300000
60	39	1.7e+07
59	39	1.4e+07
58	39	2.12e+07
57	39	1.61e+07
56	39	2.38e+07
55	39	2.83e+07
54	39	3.75e+07
53	39	3.59e+07
52	39	3.6e+07
51	39	2.65e+07
50	39	4.54e+07
49	39	1.3e+08
48	39	3.08e+08
47	39	5.72e+08
46	39	9.29e+08
45	39	9.63e+08
44	39	5.99e+08
43	39	2.26e+08
42	39	4.89e+07
41	39	5730000
40	39	341000
39	39	10300
38	39	349
74	38	1.73e-09
73	38	2.31e-08
72	38	3.25e-07
71	38	3.98e-06
70	38	0.000164
69	38	0.00147
68	38	0.0745
67	38	1.19
66	38	34.6
65	38	484
64	38	3570
63	38	21800
62	38	178000
61	38	755000
60	38	2880000
59	38	7930000
58	38	2.19e+07
57	38	8100000
56	38	1.67e+07
55	38	1.55e+07
54	38	2.65e+07
53	38	2.75e+07
52	38	3.58e+07
51	38	2.78e+07
50	38	3.34e+07
49	38	2.87e+07
48	38	8.89e+07
47	38	2.27e+08
46	38	4.6e+08
45	38	7.05e+08
44	38	8.44e+08
43	38	6.27e+08
42	38	2.78e+08
41	38	6.82e+07
40	38	8700000
39	38	546000
38	38	16400
37	38	532
36	38	16.7
35	38	0.52
34	38	0.0168
33	38	0.000559
72	37	4.31e-09
71	37	5.86e-08
70	37	8.18e-07
69	37	4.49e-05
68	37	0.00038
67	37	0.00859
66	37	0.364
65	37	8.92
64	37	84.7
63	37	724
62	37	9150
61	37	49100
60	37	339000
59	37	1170000
58	37	3510000
57	37	1.03e+07
56	37	2.76e+07
55	37	1.02e+07
54	37	1.61e+07
53	37	1.74e+07
52	37	2.62e+07
51	37	2.91e+07
50	37	4.2e+07
49	37	1.58e+08
48	37	1.3e+08
47	37	9.86e+07
46	37	1.62e+08
45	37	3.58e+08
44	37	6.01e+08
43	37	7.06e+08
42	37	6.2e+08
41	37	3.14e+08
40	37	8.55e+07
39	37	1.22e+07
38	37	1560000
37	37	80000
36	37	1330
70	36	1.1e-08
69	36	1.49e-07
68	36	2.25e-06
67	36	2.43e-05
66	36	0.00102
65	36	0.0315
64	36	0.379
63	36	4.89
62	36	178
61	36	1430
60	36	16200
59	36	90600
58	36	384000
57	36	1710000
56	36	6170000
55	36	1.23e+07
54	36	4.16e+07
53	36	1.1e+07
52	36	1.57e+07
51	36	1.59e+08
50	36	4.03e+12
49	36	1.6e+10
48	36	1.32e+10
47	36	9.98e+09
46	36	6.6e+09
45	36	3.89e+09
44	36	2e+09
43	36	8.7e+08
42	36	4.05e+12
41	36	1.82e+10
40	36	6.19e+09
39	36	1.23e+09
38	36	1.56e+08
37	36	1.27e+07
36	36	661000
35	36	34000
34	36	1560
33	36	65.6
32	36	2.58
31	36	0.0974
69	35	1.79e-09
68	35	3.11e-08
67	35	4.21e-07
66	35	0.000139
65	35	0.000824
64	35	0.00537
63	35	0.038
62	35	1.16
61	35	16.6
60	35	305
59	35	2440
58	35	26300
57	35	120000
56	35	648000
55	35	2010000
54	35	5120000
53	35	9690000
52	35	9230000
51	35	2.02e+07
50	35	2.01e+09
49	35	3.92e+09
48	35	6.05e+09
47	35	7.85e+09
46	35	8.97e+09
45	35	8.2e+09
44	35	6.4e+09
43	35	4.22e+09
42	35	5.1e+09
41	35	1.4e+10
40	35	1.5e+10
39	35	7.76e+09
38	35	2.33e+09
37	35	4.11e+08
36	35	4.13e+07
35	35	2210000
33	35	2670
67	34	5.31e-09
66	34	9.74e-08
65	34	1.36e-06
64	34	1.64e-05
63	34	0.000158
62	34	0.00225
61	34	0.0554
60	34	1.51
59	34	17.6
58	34	438
57	34	3480
56	34	39400
55	34	166000
54	34	851000
53	34	2430000
52	34	4520000
51	34	8640000
50	34	1.27e+08
49	34	4.2e+08
48	34	4.36e+12
47	34	1.79e+10
46	34	1.5e+10
45	34	1.13e+10
44	34	7.71e+09
43	34	6.26e+09
42	34	5.27e+09
41	34	3.71e+09
40	34	9e+09
39	34	1.18e+10
38	34	7.97e+09
37	34	3.12e+09
36	34	6.82e+08
35	34	7.83e+07
34	34	4390000
33	34	142000
32	34	5050
31	34	175
30	34	6.06
29	34	0.21
66	33	1.12e-09
65	33	1.94e-08
64	33	2.49e-07
63	33	2.75e-06
62	33	3.6e-05
61	33	0.000347
60	33	0.00895
59	33	0.106
58	33	4.34
57	33	54.7
56	33	1210
55	33	8650
54	33	67600
53	33	217000
52	33	839000
51	33	1890000
50	33	6580000
49	33	3.22e+07
48	33	2.18e+09
47	33	4.24e+09
46	33	6.55e+09
45	33	8.56e+09
44	33	9.69e+09
43	33	9.22e+09
42	33	7.42e+09
41	33	5.03e+09
40	33	4.19e+09
39	33	6.01e+09
38	33	9.09e+09
37	33	7.57e+09
36	33	3.57e+09
35	33	8.98e+08
34	33	1.12e+08
33	33	6520000
32	33	205000
31	33	7010
64	32	2.88e-09
63	32	3.65e-08
62	32	5.16e-07
61	32	6.05e-06
60	32	7.34e-05
59	32	0.000675
58	32	0.0179
57	32	0.31
56	32	12.7
55	32	172
54	32	2820
53	32	16200
52	32	87600
51	32	280000
50	32	877000
49	32	1970000
48	32	1.3e+08
47	32	4.29e+08
46	32	1.04e+09
45	32	2.04e+09
44	32	3.38e+09
43	32	4.92e+09
42	32	6.32e+09
41	32	6.98e+09
40	32	6.08e+09
39	32	4.22e+09
38	32	3.79e+12
37	32	1.95e+10
36	32	8.57e+09
35	32	3.76e+09
34	32	1.05e+09
33	32	1.4e+08
32	32	8470000
31	32	264000
30	32	12800
29	32	591
28	32	25.4
62	31	5.73e-09
61	31	7.63e-08
60	31	1.06e-06
59	31	1.09e-05
58	31	0.000135
57	31	0.00119
56	31	0.0537
55	31	1.19
54	31	35.4
53	31	323
52	31	3100
51	31	13100
50	31	72200
49	31	186000
48	31	6160000
47	31	3.04e+07
46	31	1.05e+08
45	31	2.86e+08
44	31	6.45e+08
43	31	1.27e+09
42	31	2.22e+09
41	31	3.48e+09
40	31	4.82e+09
39	31	5.6e+09
38	31	4.91e+09
37	31	1.23e+10
36	31	1.54e+10
35	31	1.03e+10
34	31	4.37e+09
33	31	1.15e+09
32	31	1.79e+08
31	31	1.5e+07
30	31	708000
29	31	23000
60	30	1.11e-08
59	30	1.48e-07
58	30	1.89e-06
57	30	1.93e-05
56	30	0.000278
55	30	0.00297
54	30	0.124
53	30	2.04
52	30	48
51	30	420
50	30	3890
49	30	19400
48	30	250000
47	30	1650000
46	30	7580000
45	30	2.68e+07
44	30	7.86e+07
43	30	2e+08
42	30	4.57e+08
41	30	9.45e+08
40	30	4.91e+12
39	30	2.81e+10
38	30	2e+10
37	30	1.22e+10
36	30	6.85e+09
35	30	1.06e+10
34	30	5.1e+12
33	30	2.52e+10
32	30	6.58e+09
31	30	9.22e+08
30	30	7.43e+07
29	30	3680000
28	30	174000
27	30	7390
26	30	294
25	30	11.2
24	30	0.424
59	29	1.31e-09
58	29	2.1e-08
57	29	2.59e-07
56	29	6.35e-06
55	29	5.26e-05
54	29	0.00091
53	29	0.014
52	29	0.273
51	29	3.29
50	29	66.6
49	29	445
48	29	8300
47	29	67900
46	29	388000
45	29	1720000
44	29	6320000
43	29	2.04e+07
42	29	5.94e+07
41	29	1.59e+08
40	29	4e+09
39	29	8.38e+09
38	29	1.37e+10
37	29	1.6e+10
36	29	1.45e+10
35	29	1.03e+10
34	29	9.55e+09
33	29	2.43e+10
32	29	2.02e+10
31	29	7.79e+09
30	29	1.56e+09
29	29	2.04e+08
28	29	2.28e+07
27	29	1030000
26	29	23800
57	28	2.53e-09
56	28	6.73e-08
55	28	6.25e-07
54	28	2.66e-05
53	28	9.17e-05
52	28	0.00127
51	28	0.0124
50	28	0.72
49	28	7.2
48	28	209
47	28	2010
46	28	13700
45	28	73900
44	28	336000
43	28	1360000
42	28	5030000
41	28	1.74e+07
40	28	2.96e+08
39	28	1.07e+09
38	28	2.66e+09
37	28	5.57e+09
36	28	4.2e+12
35	28	2.64e+10
34	28	1.71e+10
33	28	8.96e+09
32	28	1.66e+10
31	28	1.64e+10
30	28	4.65e+12
29	28	2.03e+10
28	28	2.25e+09
27	28	1.01e+08
26	28	3570000
25	28	122000
24	28	4000
23	28	130
22	28	4.21
21	28	0.139
20	28	0.00481
55	27	6.17e-09
54	27	1.64e-07
53	27	1.3e-06
52	27	3.38e-05
51	27	0.000178
50	27	0.00387
49	27	0.0443
48	27	3.67
47	27	40.1
46	27	322
45	27	2090
44	27	11700
43	27	59500
42	27	284000
41	27	1270000
40	27	1.8e+07
39	27	9.46e+07
38	27	3.37e+08
37	27	9.22e+08
36	27	4.95e+09
35	27	1.03e+10
34	27	1.5e+10
33	27	1.61e+10
32	27	1.22e+10
31	27	1.19e+10
30	27	1.44e+10
29	27	3e+10
28	27	1.25e+10
27	27	1.87e+09
26	27	1.11e+08
25	27	3490000
24	27	111000
23	27	3480
54	26	1.13e-09
53	26	1.3e-08
52	26	3.37e-07
51	26	2.16e-06
50	26	2.83e-05
49	26	0.000451
48	26	0.0427
47	26	0.527
46	26	4.93
45	26	38.3
44	26	272
43	26	1770
42	26	10900
41	26	63100
40	26	928000
39	26	6320000
38	26	2.94e+07
37	26	1.06e+08
36	26	3.81e+08
35	26	1.62e+09
34	26	3.87e+09
33	26	7.05e+09
32	26	1.02e+10
31	26	1.12e+10
30	26	8.72e+09
29	26	1.59e+10
28	26	2.11e+10
27	26	9.21e+09
26	26	1.55e+09
25	26	9.61e+07
24	26	2920000
23	26	92300
22	26	2990
21	26	100
20	26	3.48
19	26	0.129
52	25	2.13e-09
51	25	1.88e-08
50	25	7.67e-07
49	25	7.05e-06
48	25	0.000328
47	25	0.00472
46	25	0.0519
45	25	0.488
44	25	4.23
43	25	36.4
42	25	288
41	25	2160
40	25	38200
39	25	310000
38	25	1770000
37	25	8040000
36	25	3.1e+07
35	25	1.47e+08
34	25	6.05e+08
33	25	1.57e+09
32	25	3.36e+09
31	25	5.95e+09
30	25	8.47e+09
29	25	8.19e+09
28	25	1.37e+10
27	25	1.62e+10
26	25	7.31e+09
25	25	1.26e+09
24	25	7.63e+07
23	25	2400000
22	25	79000
21	25	2660
50	24	4.37e-09
49	24	4.85e-08
48	24	2e-06
47	24	3.38e-05
46	24	0.000825
45	24	0.00491
44	24	0.0513
43	24	0.515
42	24	5.37
41	24	50.9
40	24	1140
39	24	10500
38	24	71900
37	24	401000
36	24	1960000
35	24	1.11e+07
34	24	5.23e+07
33	24	1.91e+08
32	24	6.42e+08
31	24	1.6e+09
30	24	3.4e+09
29	24	5.87e+09
28	24	7.21e+09
27	24	1.12e+10
26	24	1.32e+10
25	24	6.05e+09
24	24	1.04e+09
23	24	6.21e+07
22	24	2050000
21	24	71500
20	24	2650
19	24	103
18	24	4.2
48	23	2.55e-08
47	23	2.43e-07
46	23	4.73e-06
45	23	4.46e-05
44	23	0.000934
43	23	0.00858
42	23	0.0835
41	23	0.825
40	23	23
39	23	235
38	23	1920
37	23	13200
36	23	83300
35	23	605000
34	23	3500000
33	23	1.63e+07
32	23	6.56e+07
31	23	2.63e+08
30	23	7.81e+08
29	23	1.97e+09
28	23	3.99e+09
27	23	5.86e+09
26	23	9.1e+09
25	23	1.1e+10
24	23	5.12e+09
23	23	8.82e+08
22	23	5.34e+07
21	23	1940000
20	23	73600
47	22	1.69e-09
46	22	2.75e-08
45	22	3.66e-07
44	22	9.39e-06
43	22	5.37e-05
42	22	0.00657
41	22	0.0458
40	22	0.625
39	22	3.49
38	22	33.1
37	22	300
36	22	2450
35	22	22500
34	22	156000
33	22	914000
32	22	5040000
31	22	2.47e+07
30	22	1.03e+08
29	22	3.99e+08
28	22	1.16e+09
27	22	2.65e+09
26	22	4.47e+09
25	22	7.31e+09
24	22	9.16e+09
23	22	4.42e+09
22	22	7.95e+08
21	22	5.16e+07
20	22	2010000
19	22	81600
18	22	3400
17	22	146
44	21	6.28e-08
43	21	4.22e-07
42	21	1.98e-05
41	21	7.69e-05
40	21	0.0147
39	21	0.123
38	21	1.02
37	21	4.68
36	21	52.1
35	21	533
34	21	4620
33	21	38000
32	21	277000
31	21	1820000
30	21	1.01e+07
29	21	6.66e+07
28	21	2.04e+08
27	21	6.7e+08
26	21	1.7e+09
25	21	3.22e+09
24	21	5.78e+09
23	21	7.62e+09
22	21	3.89e+09
21	21	7.67e+08
20	21	5.41e+07
19	21	2210000
42	20	9.23e-08
41	20	5.76e-07
40	20	2.56e-05
39	20	0.000328
38	20	0.0267
37	20	0.123
36	20	1.35
35	20	8.7
34	20	107
33	20	1100
32	20	10300
31	20	85300
30	20	1190000
29	20	5.82e+08
28	20	6.86e+12
27	20	5.85e+10
26	20	4.14e+10
25	20	2.45e+10
24	20	1.17e+10
23	20	4.38e+09
22	20	6.36e+09
21	20	3.52e+09
20	20	7.61e+08
19	20	5.79e+07
18	20	2510000
17	20	742000
16	20	39900
15	20	1060
40	19	1.78e-07
39	19	2.67e-06
38	19	5.08e-05
37	19	0.000592
36	19	0.0505
35	19	0.199
34	19	2.64
33	19	21.9
32	19	256
31	19	2670
30	19	181000
29	19	8.71e+07
28	19	8.65e+09
27	19	1.83e+10
26	19	2.81e+10
25	19	3.41e+10
24	19	3.05e+10
23	19	2.04e+10
22	19	9.34e+09
21	19	5.16e+09
20	19	3.17e+09
19	19	7.56e+08
18	19	5.61e+08
17	19	3.8e+08
16	19	2.08e+07
38	18	3.17e-07
37	18	4.89e-06
36	18	9.29e-05
35	18	0.00114
34	18	0.0877
33	18	0.426
32	18	5.61
31	18	56.7
30	18	11900
29	18	5590000
28	18	5.51e+08
27	18	2.02e+09
26	18	5.16e+09
25	18	1.04e+10
24	18	1.74e+10
23	18	2.34e+10
22	18	7.51e+12
21	18	7.67e+10
20	18	3.67e+10
19	18	1.17e+10
18	18	7.19e+12
17	18	3.76e+10
16	18	2.05e+09
15	18	6.04e+07
14	18	1810000
13	18	57100
38	17	1.85e-09
36	17	5.26e-07
35	17	8.94e-06
34	17	0.00016
33	17	0.00306
32	17	0.083
31	17	2.67
30	17	567
29	17	257000
28	17	2.52e+07
27	17	1.32e+08
26	17	4.8e+08
25	17	1.41e+09
24	17	3.56e+09
23	17	7.64e+09
22	17	2.02e+10
21	17	4.41e+10
20	17	5.65e+10
19	17	4.17e+10
18	17	5.69e+10
17	17	7.21e+10
16	17	1.59e+10
15	17	9.48e+08
14	17	2.88e+07
36	16	3.04e-09
34	16	1.12e-06
33	16	2.13e-05
32	16	0.000498
31	16	0.00862
30	16	17.3
29	16	7850
28	16	765000
27	16	5030000
26	16	2.44e+07
25	16	9.93e+07
24	16	3.61e+08
23	16	1.17e+09
22	16	3.24e+09
21	16	8.52e+09
20	16	2.07e+10
19	16	3.5e+10
18	16	3.65e+10
17	16	5.9e+10
16	16	4.37e+10
15	16	8.65e+09
14	16	4.64e+08
13	16	1.63e+07
12	16	637000
11	16	25800
34	15	9.26e-09
33	15	1.34e-07
32	15	4.77e-06
31	15	6.56e-05
30	15	0.334
29	15	133
28	15	13700
27	15	108000
26	15	672000
25	15	3890000
24	15	2.04e+07
23	15	9.52e+07
22	15	3.86e+08
21	15	1.3e+09
20	15	3.55e+09
19	15	1e+10
18	15	2.13e+10
17	15	2.87e+10
16	15	4.71e+10
15	15	2.96e+10
14	15	5.42e+09
13	15	6.41e+08
12	15	4.28e+07
11	15	1400000
32	14	1.84e-08
31	14	4.06e-07
30	14	0.00412
29	14	1.36
28	14	126
27	14	1340
26	14	11300
25	14	88400
24	14	640000
23	14	4350000
22	14	2.49e+07
21	14	1.19e+08
20	14	4.82e+08
19	14	1.56e+09
18	14	4.98e+09
17	14	1.28e+10
16	14	2.03e+10
15	14	3.6e+10
14	14	9.42e+12
13	14	6.11e+10
12	14	4.4e+09
11	14	1.52e+08
10	14	5260000
9	14	196000
8	14	7530
30	13	3.73e-05
29	13	0.00926
28	13	0.779
27	13	10.1
26	13	124
25	13	1290
24	13	12400
23	13	108000
22	13	894000
21	13	6110000
20	13	3.5e+07
19	13	1.7e+08
18	13	6.41e+08
17	13	2.48e+09
16	13	7.19e+09
15	13	1.37e+10
14	13	8.21e+10
13	13	1.1e+11
12	13	2.95e+10
11	13	2.14e+09
10	13	7.72e+07
9	13	3070000
30	12	2.76e-07
28	12	0.00423
26	12	0.965
25	12	12.1
24	12	148
23	12	1710
22	12	18000
21	12	180000
20	12	1430000
19	12	9830000
18	12	5.51e+07
17	12	2.58e+08
16	12	1.2e+09
15	12	3.86e+09
14	12	2.29e+10
13	12	7.35e+10
12	12	6.99e+10
11	12	1.69e+10
10	12	1.17e+09
9	12	4.78e+07
8	12	2270000
28	11	1.95e-05
26	11	0.00558
24	11	1.14
23	11	16.5
22	11	228
21	11	3030
20	11	33500
19	11	314000
18	11	2440000
17	11	1.73e+07
16	11	1.02e+08
15	11	5.51e+08
14	11	3.84e+09
13	11	2.09e+10
12	11	5.18e+10
11	11	4.53e+10
10	11	1.09e+10
9	11	7.58e+08
24	10	0.00608
22	10	1.72
21	10	31.3
20	10	466
19	10	6070
18	10	67800
17	10	631000
16	10	5250000
15	10	3.9e+07
14	10	3.44e+08
13	10	2.91e+09
12	10	2.24e+13
11	10	1.27e+11
10	10	4.64e+10
9	10	7.26e+09
8	10	5.28e+08
7	10	2.8e+07
22	9	0.00924
20	9	4.03
18	9	1040
17	9	13800
16	9	168000
15	9	1730000
14	9	1.59e+07
13	9	5.8e+08
12	9	4.52e+10
11	9	9.5e+10
10	9	8.75e+10
9	9	4.25e+10
8	9	7.22e+09
16	8	3180
15	8	40800
14	8	453000
13	8	4.31e+07
12	8	4.62e+09
11	8	1.57e+10
10	8	3.12e+13
9	8	1.32e+11
8	8	3.57e+13
7	8	6.68e+10
6	8	5.84e+09
5	8	2.11e+08
16	7	33.4
15	7	617
14	7	11800
13	7	1690000
12	7	1.79e+08
11	7	1.24e+09
10	7	4.38e+10
9	7	9.01e+10
8	7	8.83e+10
7	7	1.04e+11
6	7	3.08e+10
5	7	2.47e+09
16	6	0.215
14	6	152
13	6	35400
12	6	3770000
11	6	3.95e+07
10	6	3.6e+09
9	6	1.1e+10
8	6	2.9e+10
7	6	4.82e+10
6	6	5.13e+10
5	6	1.38e+10
4	6	1.25e+09
3	6	5.32e+07
14	5	1.1
12	5	46200
10	5	9.14e+07
9	5	6.62e+08
8	5	2.88e+09
7	5	9.34e+09
6	5	1.73e+10
5	5	2.33e+10
3	5	4.52e+08
10	4	3540000
8	4	3.37e+08
7	4	2.56e+09
6	4	8.17e+09
5	4	2.15e+10
3	4	6.95e+09
8	3	1.77e+07
6	3	1.57e+09
5	3	1.08e+10
4	3	2.14e+10
3	3	3.85e+10
6	2	6.5e+08
4	2	2.85e+10
2	2	8.07e+10
1	2	1.96e+10
2	1	2.53e+11
1	1	1.75e+11
0	1	2.19e+11
